From Timestamp,E_PV_N1,E_PV_N3,E_PV_N4,E_PV_S1,E_PV_S2,E_PV_S3,E_PV_Oth
14-05-2017 11:45,342079.56000000006,341136.79,311344.56,318330.05,326262.13999999996,283237.39,768545.51
14-05-2017 11:50,342081.85,341139.42,311347.19000000006,318332.25,326264.5,283237.39,768550.97
14-05-2017 11:55,342084.08999999997,341141.7,311349.56,318334.29,326266.72,283237.39,768556.1500000001
14-05-2017 12:00,342085.66,341143.22000000003,311351.1099999999,318335.61000000004,326268.08,283237.39,768559.66
14-05-2017 12:05,342086.92999999993,341144.35,311352.3,318336.86,326269.4,283237.39,768562.4
14-05-2017 12:10,342088.57,341145.75,311353.79999999993,318338.58,326271.23000000004,283237.39,768566.0000000001
14-05-2017 12:15,342091.14999999997,341147.88,311356.04,318341.06999999995,326273.79000000004,283237.39,768571.45
14-05-2017 12:20,342094.4,341151.15,311359.26,318343.88,326276.62999999995,283237.39,768578.5400000002
14-05-2017 12:25,342097.65,341153.86000000004,311362.1,318346.73000000004,326279.65,283237.39,768585.35
14-05-2017 12:30,342101.01999999996,341157.13,311365.43000000005,318349.67,326282.72000000003,283237.39,768592.9399999998
14-05-2017 12:35,342103.36,341159.38,311367.77999999997,318351.66000000003,326284.83,283237.39,768598.0900000001
14-05-2017 12:40,342105.84,341161.82,311370.30999999994,318354.15,326287.61,283237.39,768603.7799999999
14-05-2017 12:45,342110.23,341166.0,311374.7299999999,318358.56,326292.18999999994,283237.39,768613.6499999999
14-05-2017 12:50,342119.04,341174.83,311383.99,318366.48,326300.38,283237.62,768633.6899999998
14-05-2017 12:55,342122.86,341179.95999999996,311388.83999999997,318368.98999999993,326303.04,283240.32999999996,768643.1100000001
14-05-2017 13:00,342125.68000000005,341183.11,311391.99000000005,318371.58999999997,326305.87,283243.02,768649.78
14-05-2017 13:05,342130.45,341187.05000000005,311396.14,318376.63999999996,326311.11,283246.89,768659.24
14-05-2017 13:10,342137.1,341194.17000000004,311403.27,318380.57,326314.92,283253.49,768675.66
14-05-2017 13:15,342140.72000000003,341198.32999999996,311407.7299999999,318383.81,326318.59,283257.2,768684.44
14-05-2017 13:20,342145.29,341203.07,311412.27,318388.11,326323.56999999995,283261.94,768694.6299999999
14-05-2017 13:25,342148.99000000005,341207.15,311416.74999999994,318391.33999999997,326327.23,283265.95,768704.1400000001
14-05-2017 13:30,342153.93000000005,341213.06,311423.4,318395.88,326332.33999999997,283272.35,768717.5000000001
14-05-2017 13:35,342156.93999999994,341216.49,311426.77,318398.4,326335.08,283275.79,768725.21
14-05-2017 13:40,342159.93000000005,341219.20999999996,311429.59,318400.78,326337.64,283277.98,768731.72
14-05-2017 13:45,342161.37,341220.63,311431.12,318402.25,326339.25,283279.33999999997,768735.11
14-05-2017 13:50,342163.37,341222.62,311433.19,318404.13,326341.26,283281.11,768739.6600000001
14-05-2017 13:55,342165.24,341224.5399999999,311435.15,318405.93,326343.16000000003,283282.78,768744.0199999999
14-05-2017 14:00,342167.09,341226.43000000005,311437.14999999997,318407.66,326344.99,283284.42,768748.3699999999
14-05-2017 14:05,342169.23,341228.57,311439.35,318409.73000000004,326347.22,283286.32999999996,768753.3500000001
14-05-2017 14:10,342171.5,341230.81,311441.73,318411.87,326349.48,283288.3,768758.5599999999
14-05-2017 14:15,342173.66,341232.99,311443.96,318413.95,326351.66000000003,283290.17,768763.6299999999
14-05-2017 14:20,342176.00999999995,341235.37,311446.43,318416.19,326354.05000000005,283292.23999999993,768769.0399999998
14-05-2017 14:25,342178.76,341238.08999999997,311449.27999999997,318418.80000000005,326356.79000000004,283294.63,768775.3900000001
14-05-2017 14:30,342181.39,341240.76999999996,311452.03,318421.26,326359.41000000003,283296.9,768781.5399999998
14-05-2017 14:35,342183.44,341242.87,311454.22000000003,318423.15,326361.43,283298.72,768786.3
14-05-2017 14:40,342184.88999999996,341244.4,311455.79000000004,318424.45999999996,326362.83999999997,283300.02,768789.72
14-05-2017 14:45,342185.9,341245.48,311456.89999999997,318425.37000000005,326363.82,283300.94,768792.1000000001
14-05-2017 14:50,342186.79999999993,341246.43000000005,311457.91,318426.23,326364.74999999994,283301.79,768794.1999999997
14-05-2017 14:55,342187.62,341247.29,311458.79000000004,318426.95999999996,326365.51,283302.5,768796.1400000002
14-05-2017 15:00,342188.43000000005,341248.09,311459.64,318427.69,326366.29999999993,283303.2,768797.9400000001
14-05-2017 15:05,342189.45,341249.13999999996,311460.72000000003,318428.68999999994,326367.34,283304.13,768800.3400000001
14-05-2017 15:10,342190.42999999993,341250.20000000007,311461.82999999996,318429.58,326368.32999999996,283305.05,768802.71
14-05-2017 15:15,342191.16000000003,341251.03,311462.66,318430.21,326368.97,283305.70999999996,768804.4300000002
14-05-2017 15:20,342191.58,341251.51,311463.17000000004,318430.58,326369.36,283306.08,768805.45
14-05-2017 15:25,342191.98,341251.92,311463.63000000006,318430.97,326369.8,283306.47000000003,768806.38
14-05-2017 15:30,342192.47000000003,341252.45999999996,311464.17000000004,318431.44,326370.31,283306.96,768807.5299999999
14-05-2017 15:35,342193.01,341253.02,311464.76,318431.94,326370.86,283307.47,768808.8100000002
14-05-2017 15:40,342193.54,341253.57999999996,311465.33999999997,318432.42999999993,326371.42000000004,283307.95999999996,768810.0199999999
14-05-2017 15:45,342194.27999999997,341254.33,311466.14,318433.16000000003,326372.25,283308.73000000004,768811.7999999999
14-05-2017 15:50,342195.3,341255.43,311467.28,318434.11,326373.24000000005,283309.69,768814.2200000002
14-05-2017 15:55,342196.28,341256.5,311468.37999999995,318435.01,326374.21,283310.63,768816.5100000001
14-05-2017 16:00,342197.34,341257.59,311469.51,318435.9199999999,326375.19,283311.57999999996,768818.8700000001
14-05-2017 16:05,342198.36000000004,341258.68999999994,311470.66000000003,318436.82999999996,326376.22,283312.6,768821.27
14-05-2017 16:10,342199.78,341260.2,311472.22,318437.98,326377.52999999997,283313.93,768824.4100000001
14-05-2017 16:15,342201.55000000005,341262.05,311474.08999999997,318439.32,326379.05000000005,283315.44,768828.2300000001
14-05-2017 16:20,342203.92000000004,341264.64,311476.71,318441.16000000003,326381.3,283317.76,768833.29
14-05-2017 16:25,342207.06,341267.56,311479.75,318443.48000000004,326384.36,283320.48,768839.6900000002
14-05-2017 16:30,342210.49,341270.92999999993,311483.17000000004,318445.72000000003,326387.32,283323.34,768846.69
14-05-2017 16:35,342215.19999999995,341275.48,311487.94,318449.0,326391.75,283327.64,768856.2699999999
14-05-2017 16:40,342220.1,341280.10000000003,311492.70999999996,318452.39,326396.37000000005,283331.85000000003,768866.1200000002
14-05-2017 16:45,342225.25,341285.08,311497.85,318455.67,326401.08999999997,283336.49,768876.51
14-05-2017 16:50,342230.44,341289.87,311502.9199999999,318458.72,326405.23,283341.11,768887.0599999999
14-05-2017 16:55,342234.35,341294.18000000005,311507.42000000004,318461.37,326408.98,283345.18,768895.33
14-05-2017 17:00,342238.0,341297.32,311510.56,318463.51,326411.57,283347.72000000003,768902.8099999999
14-05-2017 17:05,342240.27999999997,341299.63,311512.98,318465.20999999996,326413.49,283349.82999999996,768907.7999999999
14-05-2017 17:10,342241.93,341301.49,311514.92,318466.52,326414.88999999996,283351.52,768911.5700000001
14-05-2017 17:15,342243.33,341302.8,311516.29,318467.76,326416.25,283352.69999999995,768914.6300000001
14-05-2017 17:20,342244.49,341303.97000000003,311517.52,318468.79000000004,326417.37,283353.76,768917.1900000001
14-05-2017 17:25,342245.59,341305.14,311518.65,318469.63,326418.33999999997,283354.72,768919.66
14-05-2017 17:30,342247.31,341306.69,311520.25,318470.76,326419.72,283356.23,768923.1099999999
14-05-2017 17:35,342249.80999999994,341308.95999999996,311522.51999999996,318472.13,326421.4,283358.17,768928.03
14-05-2017 17:40,342252.10000000003,341310.94,311524.57,318473.5,326423.23,283360.27,768932.44
14-05-2017 17:45,342254.25000000006,341312.85,311526.6,318474.91000000003,326425.11,283362.42,768936.63
14-05-2017 17:50,342255.49000000005,341314.02,311527.83,318475.73,326426.09,283363.5,768939.1900000002
14-05-2017 17:55,342255.85,341314.37,311528.18000000005,318476.05000000005,326426.39999999997,283363.8,768940.0
14-05-2017 18:00,342255.99,341314.5,311528.31999999995,318476.13,326426.49000000005,283363.9,768940.28
14-05-2017 18:05,342256.1,341314.58999999997,311528.43,318476.22,326426.62,283363.99000000005,768940.52
14-05-2017 18:10,342256.23000000004,341314.73000000004,311528.58,318476.3,326426.73,283364.09,768940.83
14-05-2017 18:15,342256.28,341314.77,311528.63000000006,318476.34,326426.74,283364.13,768940.93
14-05-2017 18:20,342256.32999999996,341314.83999999997,311528.70000000007,318476.38,326426.8,283364.18,768941.05
14-05-2017 18:25,342256.41,341314.92,311528.79,318476.48,326426.89,283364.28,768941.2700000001
14-05-2017 18:30,342256.49000000005,341314.98,311528.85,318476.52999999997,326426.95999999996,283364.34,768941.4600000002
14-05-2017 18:35,342256.51,341315.0,311528.87999999995,318476.55,326427.0,283364.35000000003,768941.48
14-05-2017 18:40,342256.56,341315.05,311528.92,318476.57999999996,326427.01,283364.37000000005,768941.5599999998
14-05-2017 18:45,342256.58,341315.05,311528.94,318476.57999999996,326427.01,283364.39,768941.6099999998
14-05-2017 18:50,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 18:55,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:00,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:05,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:10,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:15,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:20,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:25,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:30,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:35,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:40,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:45,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:50,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 19:55,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 20:00,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 20:05,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
14-05-2017 20:10,342256.60000000003,341315.07,311528.95,318476.57999999996,326427.02,283364.39,768941.6399999998
